"","Date","Max_TemperatureC","Mean_TemperatureC","Min_TemperatureC"
"1",2015-01-01,32,28,23
"2",2015-01-02,32,28,24
"3",2015-01-03,32,28,23
"4",2015-01-04,32,28,23
"5",2015-01-05,33,28,24
"6",2015-01-06,31,28,24
"7",2015-01-07,32,28,24
"8",2015-01-08,31,27,23
"9",2015-01-09,30,27,23
"10",2015-01-10,33,28,23
"11",2015-01-11,32,28,23
"12",2015-01-12,34,29,25
"13",2015-01-13,33,29,24
"14",2015-01-14,34,29,24
"15",2015-01-15,34,29,23
"16",2015-01-16,34,28,23
"17",2015-01-17,33,28,23
"18",2015-01-18,33,29,24
"19",2015-01-19,33,28,23
"20",2015-01-20,32,28,24
"21",2015-01-21,33,28,23
"22",2015-01-22,31,27,23
"23",2015-01-23,32,28,24
"24",2015-01-24,31,27,23
"25",2015-01-25,33,28,23
"26",2015-01-26,33,28,23
"27",2015-01-27,33,28,24
"28",2015-01-28,34,29,24
"29",2015-01-29,33,28,24
"30",2015-01-30,33,29,24
"31",2015-01-31,33,28,23
"32",2015-02-01,33,28,23
"33",2015-02-02,34,28,22
"34",2015-02-03,33,28,22
"35",2015-02-04,32,28,23
"36",2015-02-05,32,29,25
"37",2015-02-06,32,29,25
"38",2015-02-07,32,28,24
"39",2015-02-08,33,28,24
"40",2015-02-09,33,28,23
"41",2015-02-10,33,28,23
"42",2015-02-11,31,27,23
"43",2015-02-12,32,28,23
"44",2015-02-13,33,29,24
"45",2015-02-14,33,28,24
"46",2015-02-15,34,29,25
"47",2015-02-16,34,29,25
"48",2015-02-17,34,29,24
"49",2015-02-18,33,28,23
"50",2015-02-19,34,28,23
"51",2015-02-20,33,29,24
"52",2015-02-21,35,29,23
"53",2015-02-22,35,29,24
"54",2015-02-23,34,29,24
"55",2015-02-24,32,28,24
"56",2015-02-25,33,29,25
"57",2015-02-26,34,29,24
"58",2015-02-27,34,29,24
"59",2015-02-28,34,29,24
"60",2015-03-01,33,29,24
"61",2015-03-02,33,29,25
"62",2015-03-03,34,29,24
"63",2015-03-04,34,29,24
"64",2015-03-05,34,28,23
"65",2015-03-06,33,28,23
"66",2015-03-07,34,29,24
"67",2015-03-08,35,29,24
"68",2015-03-09,33,28,23
