ANNEE;INSEE;COMMUNE;SINISTRE
"2009";"68352";"VOLGELSHEIM";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68186";"LIGSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68206";"MICHELBACH";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68172";"KUNHEIM";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68074";"DURLINSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68099";"FROENINGEN";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68074";"DURLINSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68181";"LEVONCOURT";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68298";"SAINTE-MARIE-AUX-MINES";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68056";"BRUNSTATT";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68171";"KRUTH";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68128";"HEIMERSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68012";"ASPACH-LE-HAUT";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68317";"SOULTZEREN";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68330";"STRUETH";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68203";"MERXHEIM";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68367";"WIDENSOLEN";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68017";"BALLERSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68305";"SEPPOIS-LE-BAS";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68219";"MORTZWILLER";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68331";"SUNDHOFFEN";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68343";"UNGERSHEIM";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68097";"FRELAND";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68097";"FRELAND";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68193";"LUTTENBACH-PRES-MUNSTER";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68297";"SAINT-LOUIS";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68136";"HETTENSCHLAG";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68272";"RIEDWIHR";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68062";"CARSPACH";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68347";"VIEUX-FERRETTE";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68347";"VIEUX-FERRETTE";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68125";"HECKEN";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68041";"BLODELSHEIM";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68107";"GOMMERSDORF";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68326";"STERNENBERG";"RECUPERATION D'ESSAIM D'ABEILLES"
"2009";"68348";"VIEUX-THANN";"RECUPERATION D'ESSAIM D'ABEILLES"
