Code_Postal;Rue;Rue_complement;Ville;Département;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;Geoloc2
"42100";"4 BIS RUE MARCELLIN CHAMPAGNAT ";;"SAINT ETIENNE";"LOIRE";"45.430773";"4.411039";"4 BIS Rue Marcellin Champagnat 42100 Saint-Ã‰tienne";"0.84";"housenumber";"ADRNIVX_0000002009434375";"4 BIS";"Rue Marcellin Champagnat";;"42100";"Saint-Ã‰tienne";"42, Loire, Auvergne-RhÃ´ne-Alpes (RhÃ´ne-Alpes)";"42218";"45.430773,4.411039"
"69160";"66 AVENUE DU 8 MAI 1945";;"TASSIN LA DEMI LUNE";"RHONE";"45.761048";"4.760726";"66 Avenue du 8 Mai 1945 69160 Tassin-la-Demi-Lune";"0.83";"housenumber";"ADRNIVX_0000000260005488";"66";"Avenue du 8 Mai 1945";;"69160";"Tassin-la-Demi-Lune";"69, RhÃ´ne, Auvergne-RhÃ´ne-Alpes (RhÃ´ne-Alpes)";"69244";"45.761048,4.760726"
"75009";"79 RUE DU FAUBOURG POISSONNIERE ";;"PARIS";"PARIS";"48.876327";"2.348381";"79 Rue du Faubourg PoissonniÃ¨re 75009 Paris";"0.83";"housenumber";"ADRNIVX_0000000270736593";"79";"Rue du Faubourg PoissonniÃ¨re";;"75009";"Paris";"75, Paris, ÃŽle-de-France";"75109";"48.876335,2.348385"
"97490";"97 BIS CHEMIN DES ACAJOUS";;"SAINT-DENIS";"REUNION";"-20.9051";"55.473288";"97 BIS Chemin des Acajous 97490 Saint-Denis";"0.8";"housenumber";"ADRNIVX_0000001402403357";"97 BIS";"Chemin des Acajous";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.905235,55.473238"
"97480";"96 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333331";"55.643058";"96 Chemin du Grand Defriche 97480 Saint-Joseph";"0.79";"housenumber";"ADRNIVX_0000001402035997";"96";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333331,55.643058"
"83200";"40 RUE DOCTEUR REYNAUD";;"TOULON";"VAR";"43.128972";"5.911212";"40 Rue Docteur Reynaud 83200 Toulon";"0.79";"housenumber";"ADRNIVX_0000000359385042";"40";"Rue Docteur Reynaud";;"83200";"Toulon";"83, Var, Provence-Alpes-CÃ´te d'Azur";"83137";"43.128972,5.911218"
"97450";"146 AVENUE DU DOCTEUR RAYMOND VERGES";;"SAINT-LOUIS";"REUNION";"-21.289313";"55.411001";"146 Avenue du Docteur Raymond Verges 97450 Saint-Louis";"0.79";"housenumber";"ADRNIVX_0000001402617802";"146";"Avenue du Docteur Raymond Verges";;"97450";"Saint-Louis";"974, La RÃ©union";"97414";"-21.289313,55.411001"
"97480";"94 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333033";"55.64237";"94 Chemin du Grand Defriche 97480 Saint-Joseph";"0.79";"housenumber";"ADRNIVX_0000002006196281";"94";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333033,55.64237"
"75019";"32 AVENUE CORENTIN CARIOU";;"PARIS";"PARIS";"48.897976";"2.386132";"32 Avenue Corentin Cariou 75019 Paris";"0.78";"housenumber";"ADRNIVX_0000000270706186";"32";"Avenue Corentin Cariou";;"75019";"Paris";"75, Paris, ÃŽle-de-France";"75119";
"97441";"9 ALLEE DU VIEUX JARDIN";;"SAINTE-SUZANNE";"REUNION";"-20.94128";"55.629342";"9 AllÃ©e du Vieux Jardin 97441 Sainte-Suzanne";"0.78";"housenumber";"ADRNIVX_0000001402301142";"9";"AllÃ©e du Vieux Jardin";;"97441";"Sainte-Suzanne";"974, La RÃ©union";"97420";"-20.94128,55.629342"
"97400";"161 RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.878893";"55.454121";"161 Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000001401758636";"161";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.878845,55.454125"
"97431";"560 RUE DE LA REPUBLIQUE";;"LA PLAINE DES PALMISTES";"REUNION";"-21.153669";"55.610167";"560 Rue de la RÃ©publique 97431 La Plaine-des-Palmistes";"0.78";"housenumber";"ADRNIVX_0000001402408732";"560";"Rue de la RÃ©publique";;"97431";"La Plaine-des-Palmistes";"974, La RÃ©union";"97406";"-21.153669,55.610167"
"97431";"439 RUE DE LA REPUBLIQUE";;"LA PLAINE DES PALMISTES";"REUNION";"-21.142571";"55.621622";"439 Rue de la RÃ©publique 97431 La Plaine-des-Palmistes";"0.78";"housenumber";"ADRNIVX_0000001401928986";"439";"Rue de la RÃ©publique";;"97431";"La Plaine-des-Palmistes";"974, La RÃ©union";"97406";"-21.142567,55.621634"
"33800";"39 RUE HIPPOLYTE MINIER";;"BORDEAUX";"GIRONDE";"44.823482";"-0.567402";"39 Rue Hippolyte Minier 33800 Bordeaux";"0.78";"housenumber";"ADRNIVX_0000000276300374";"39";"Rue Hippolyte Minier";;"33800";"Bordeaux";"33, Gironde, Nouvelle-Aquitaine (Aquitaine)";"33063";"44.823477,-0.567409"
"69300";"1 AVENUE MARC SANGNIER";;"CALUIRE ET CUIRE";"RHONE";"45.798325";"4.849237";"1 Avenue Marc Sangnier 69300 Caluire-et-Cuire";"0.78";"housenumber";"ADRNIVX_0000000259938949";"1";"Avenue Marc Sangnier";;"69300";"Caluire-et-Cuire";"69, RhÃ´ne, Auvergne-RhÃ´ne-Alpes (RhÃ´ne-Alpes)";"69034";"45.798326,4.849237"
