timeline_year_nb;timeline_month_nb;timeline_month_name;adresse_client;customers_city;customers_country;customers_creditlimit;customers_map_reference;nom_client;customers_phone;customers_postalcode;customers_number;products_line;orderfact_quantityordered;orderfact_totalprice
2017;4;April;265, boulevard Charonne;Paris;France;84300,000000;141;La Corne D'abondance, Co.;(1) 42.34.2555;75012;172;Classic Cars;145;17994,340000
2017;4;April;265, boulevard Charonne;Paris;France;84300,000000;141;La Corne D'abondance, Co.;(1) 42.34.2555;75012;172;Trucks and Buses;206;20223,070000
2017;5;May;12, rue des Bouchers;Marseille;France;65000,000000;141;Marseille Mini Autos;91.24.4555;13008;350;Classic Cars;479;49356,480000
2017;5;May;12, rue des Bouchers;Marseille;France;65000,000000;141;Marseille Mini Autos;91.24.4555;13008;350;Motorcycles;66;3125,360000
2017;5;May;54, rue Royale;Nantes;France;21000,000000;141;Atelier graphique;40.32.2555;44000;103;Classic Cars;156;16560,300000
2017;5;May;59 rue de l'Abbaye;Reims;France;81100,000000;141;Reims Collectables;26.47.1555;51100;353;Motorcycles;185;18971,960000
2017;7;July;1 rue Alsace-Lorraine;Toulouse;France;61100,000000;141;Alpha Cognac;61.77.6555;31000;242;Classic Cars;102;17251,080000
2017;7;July;27 rue du Colonel Pierre Avia;Paris;France;68100,000000;141;Lyon Souveniers;+33 1 46 62 7555;75508;250;Motorcycles;227;25624,880000
2017;7;July;59 rue de l'Abbaye;Reims;France;81100,000000;141;Reims Collectables;26.47.1555;51100;353;Classic Cars;138;15146,320000
2017;11;November;1 rue Alsace-Lorraine;Toulouse;France;61100,000000;141;Alpha Cognac;61.77.6555;31000;242;Classic Cars;24;3492,480000
2017;11;November;1 rue Alsace-Lorraine;Toulouse;France;61100,000000;141;Alpha Cognac;61.77.6555;31000;242;Planes;218;19072,640000
2017;11;November;1 rue Alsace-Lorraine;Toulouse;France;61100,000000;141;Alpha Cognac;61.77.6555;31000;242;Ships;75;6643,760000
2017;11;November;1 rue Alsace-Lorraine;Toulouse;France;61100,000000;141;Alpha Cognac;61.77.6555;31000;242;Vintage Cars;96;8889,360000
2017;11;November;184, chaussee de Tournai;Lille;France;82900,000000;141;Daedalus Designs Imports;20.16.1555;59000;171;Classic Cars;72;7557,040000
2017;11;November;184, chaussee de Tournai;Lille;France;82900,000000;141;Daedalus Designs Imports;20.16.1555;59000;171;Motorcycles;386;41317,240000
